@relation baseball

@attribute Salary numeric
@attribute Batting_average numeric
@attribute  On-base_percentage numeric
@attribute  Runs numeric
@attribute  Hits numeric
@attribute  Doubles numeric
@attribute  Triples numeric
@attribute  HomeRuns numeric
@attribute  Runs_batted_in numeric
@attribute  Walks numeric
@attribute  Strike-Outs numeric
@attribute  Stolen_bases numeric
@attribute  Errors numeric
@attribute  Free_agency_eligibility numeric
@attribute  Free_agent numeric
@attribute  Arbitration_eligibility numeric
@attribute  Arbitration numeric

@data
600.0,0.243,0.286,27.0,85.0,6.0,2.0,0.0,27.0,22.0,49.0,5.0,22.0,1.0,1.0,0.0,0.0
3200.0,0.26,0.332,66.0,131.0,20.0,4.0,10.0,77.0,54.0,79.0,6.0,2.0,1.0,0.0,0.0,0.0
2000.0,0.268,0.31,72.0,158.0,24.0,5.0,34.0,98.0,33.0,128.0,5.0,16.0,0.0,0.0,1.0,0.0
275.0,0.257,0.315,51.0,96.0,10.0,1.0,6.0,34.0,33.0,57.0,13.0,8.0,0.0,0.0,0.0,0.0
320.0,0.244,0.281,7.0,20.0,4.0,0.0,1.0,11.0,5.0,17.0,4.0,2.0,0.0,0.0,0.0,0.0
145.0,0.457,0.486,6.0,16.0,4.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
170.0,0.251,0.315,22.0,58.0,8.0,0.0,3.0,31.0,23.0,42.0,2.0,6.0,0.0,0.0,0.0,0.0
3250.0,0.268,0.4,105.0,126.0,17.0,1.0,18.0,57.0,96.0,73.0,58.0,8.0,1.0,0.0,0.0,0.0
2050.0,0.274,0.312,50.0,125.0,31.0,1.0,6.0,67.0,22.0,70.0,2.0,15.0,0.0,0.0,1.0,0.0
3358.0,0.263,0.387,85.0,132.0,17.0,2.0,31.0,89.0,101.0,131.0,3.0,6.0,1.0,0.0,0.0,0.0
2317.0,0.238,0.322,48.0,85.0,11.0,1.0,16.0,50.0,44.0,62.0,3.0,5.0,1.0,0.0,0.0,0.0
147.0,0.242,0.288,35.0,72.0,12.0,4.0,3.0,23.0,15.0,52.0,12.0,18.0,0.0,0.0,0.0,0.0
250.0,0.228,0.238,12.0,36.0,4.0,1.0,1.0,11.0,2.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0
285.0,0.254,0.32,51.0,120.0,28.0,9.0,13.0,69.0,40.0,101.0,10.0,5.0,0.0,0.0,0.0,0.0
1150.0,0.272,0.338,59.0,132.0,19.0,2.0,9.0,62.0,47.0,38.0,26.0,17.0,0.0,0.0,1.0,0.0
115.0,0.235,0.268,9.0,16.0,5.0,0.0,2.0,4.0,3.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0
109.0,0.12,0.185,0.0,3.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
1300.0,0.234,0.301,13.0,36.0,5.0,0.0,6.0,19.0,16.0,39.0,0.0,6.0,0.0,0.0,1.0,0.0
4275.0,0.301,0.359,84.0,170.0,32.0,7.0,29.0,116.0,51.0,91.0,4.0,4.0,1.0,0.0,0.0,0.0
2200.0,0.279,0.391,94.0,131.0,26.0,2.0,23.0,78.0,90.0,45.0,4.0,4.0,1.0,0.0,0.0,0.0
133.0,0.205,0.272,11.0,23.0,2.0,0.0,4.0,9.0,11.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0
2400.0,0.253,0.313,32.0,67.0,12.0,0.0,11.0,45.0,25.0,31.0,0.0,3.0,1.0,0.0,0.0,0.0
125.0,0.269,0.345,4.0,7.0,2.0,1.0,0.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
1200.0,0.279,0.322,36.0,102.0,20.0,0.0,6.0,36.0,21.0,55.0,1.0,11.0,1.0,1.0,0.0,0.0
740.0,0.284,0.367,92.0,172.0,25.0,1.0,23.0,100.0,80.0,67.0,2.0,18.0,0.0,0.0,1.0,0.0
1850.0,0.289,0.351,25.0,97.0,11.0,2.0,3.0,41.0,33.0,27.0,2.0,1.0,1.0,1.0,0.0,0.0
395.0,0.218,0.327,26.0,31.0,3.0,1.0,1.0,11.0,24.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0
3300.0,0.272,0.302,69.0,153.0,21.0,4.0,31.0,104.0,22.0,80.0,4.0,3.0,1.0,0.0,0.0,0.0
325.0,0.239,0.328,16.0,26.0,1.0,1.0,4.0,18.0,14.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0
1650.0,0.301,0.333,47.0,113.0,22.0,3.0,2.0,47.0,20.0,35.0,5.0,5.0,1.0,1.0,0.0,0.0
3453.0,0.325,0.399,133.0,216.0,32.0,13.0,17.0,75.0,77.0,62.0,19.0,6.0,1.0,0.0,0.0,0.0
380.0,0.204,0.255,29.0,42.0,9.0,0.0,7.0,18.0,13.0,49.0,0.0,4.0,0.0,0.0,0.0,0.0
2167.0,0.254,0.332,95.0,160.0,34.0,6.0,3.0,57.0,72.0,63.0,28.0,18.0,0.0,0.0,1.0,0.0
2175.0,0.291,0.379,104.0,170.0,32.0,2.0,26.0,100.0,87.0,89.0,22.0,4.0,1.0,0.0,0.0,0.0
840.0,0.287,0.349,59.0,123.0,16.0,1.0,3.0,38.0,37.0,32.0,12.0,20.0,1.0,0.0,0.0,0.0
230.0,0.257,0.335,77.0,122.0,15.0,7.0,3.0,33.0,52.0,92.0,41.0,6.0,0.0,0.0,0.0,0.0
1167.0,0.24,0.3,29.0,58.0,8.0,4.0,6.0,36.0,22.0,34.0,15.0,5.0,1.0,0.0,0.0,0.0
155.0,0.26,0.339,21.0,57.0,12.0,0.0,4.0,32.0,26.0,43.0,2.0,6.0,0.0,0.0,0.0,0.0
750.0,0.283,0.337,71.0,117.0,13.0,6.0,8.0,54.0,34.0,55.0,14.0,17.0,0.0,0.0,0.0,0.0
2050.0,0.24,0.357,37.0,88.0,11.0,4.0,1.0,26.0,67.0,48.0,1.0,9.0,1.0,0.0,0.0,0.0
148.0,0.242,0.284,7.0,23.0,6.0,0.0,4.0,23.0,6.0,20.0,1.0,3.0,0.0,0.0,0.0,0.0
2387.0,0.341,0.408,108.0,201.0,27.0,3.0,15.0,78.0,65.0,78.0,36.0,14.0,1.0,0.0,0.0,0.0
940.0,0.175,0.216,14.0,29.0,4.0,1.0,3.0,17.0,9.0,60.0,0.0,3.0,1.0,0.0,0.0,0.0
150.0,0.275,0.373,83.0,113.0,17.0,2.0,10.0,50.0,64.0,81.0,8.0,12.0,0.0,0.0,0.0,0.0
158.0,0.249,0.309,30.0,70.0,12.0,3.0,4.0,22.0,24.0,57.0,10.0,1.0,0.0,0.0,0.0,0.0
340.0,0.295,0.375,69.0,141.0,21.0,1.0,11.0,71.0,61.0,66.0,1.0,9.0,0.0,0.0,0.0,0.0
600.0,0.258,0.37,34.0,86.0,14.0,1.0,14.0,38.0,15.0,45.0,0.0,10.0,1.0,0.0,0.0,0.0
3415.0,0.227,0.307,29.0,40.0,9.0,1.0,10.0,28.0,16.0,29.0,4.0,8.0,1.0,1.0,0.0,0.0
200.0,0.281,0.386,37.0,63.0,16.0,3.0,6.0,31.0,38.0,40.0,1.0,10.0,0.0,0.0,0.0,0.0
5000.0,0.307,0.357,110.0,203.0,44.0,5.0,25.0,116.0,56.0,91.0,16.0,7.0,0.0,0.0,1.0,1.0
992.0,0.264,0.319,38.0,121.0,24.0,5.0,2.0,57.0,36.0,63.0,9.0,7.0,0.0,0.0,1.0,0.0
145.0,0.264,0.293,29.0,83.0,15.0,1.0,0.0,30.0,15.0,45.0,2.0,9.0,0.0,0.0,0.0,0.0
725.0,0.194,0.277,25.0,34.0,12.0,2.0,2.0,22.0,19.0,15.0,5.0,8.0,0.0,0.0,1.0,0.0
2475.0,0.26,0.292,59.0,128.0,22.0,7.0,12.0,50.0,23.0,64.0,21.0,21.0,0.0,0.0,1.0,0.0
875.0,0.305,0.347,35.0,54.0,6.0,2.0,6.0,23.0,10.0,27.0,16.0,2.0,0.0,0.0,1.0,0.0
150.0,0.123,0.188,12.0,13.0,3.0,0.0,2.0,8.0,7.0,26.0,3.0,3.0,0.0,0.0,0.0,0.0
1000.0,0.244,0.271,22.0,71.0,17.0,0.0,5.0,36.0,11.0,45.0,0.0,4.0,0.0,0.0,1.0,0.0
150.0,0.289,0.325,29.0,46.0,13.0,2.0,5.0,17.0,9.0,24.0,10.0,2.0,0.0,0.0,0.0,0.0
325.0,0.258,0.324,29.0,57.0,8.0,2.0,8.0,25.0,23.0,54.0,6.0,3.0,0.0,0.0,0.0,0.0
230.0,0.269,0.332,46.0,106.0,22.0,0.0,20.0,69.0,33.0,93.0,0.0,6.0,0.0,0.0,0.0,0.0
315.0,0.28,0.353,76.0,158.0,36.0,3.0,11.0,81.0,62.0,94.0,17.0,25.0,0.0,0.0,0.0,0.0
284.0,0.265,0.35,28.0,62.0,11.0,3.0,1.0,25.0,29.0,21.0,4.0,11.0,1.0,0.0,0.0,0.0
900.0,0.216,0.318,20.0,40.0,5.0,1.0,1.0,21.0,29.0,21.0,0.0,3.0,1.0,0.0,0.0,0.0
200.0,0.24,0.3,51.0,92.0,16.0,3.0,13.0,50.0,31.0,73.0,9.0,3.0,0.0,0.0,0.0,0.0
3620.0,0.288,0.339,64.0,169.0,35.0,0.0,9.0,68.0,46.0,42.0,2.0,5.0,1.0,0.0,0.0,0.0
2000.0,0.265,0.306,53.0,133.0,16.0,6.0,3.0,54.0,30.0,56.0,7.0,9.0,0.0,0.0,1.0,1.0
230.0,0.251,0.301,83.0,142.0,23.0,15.0,9.0,69.0,41.0,114.0,44.0,6.0,0.0,0.0,0.0,0.0
1750.0,0.265,0.322,44.0,102.0,17.0,1.0,6.0,51.0,33.0,56.0,3.0,18.0,1.0,1.0,0.0,0.0
300.0,0.209,0.293,9.0,28.0,5.0,1.0,0.0,11.0,15.0,12.0,0.0,1.0,1.0,1.0,0.0,0.0
3417.0,0.259,0.322,65.0,135.0,32.0,1.0,16.0,74.0,49.0,46.0,6.0,2.0,1.0,0.0,0.0,0.0
1617.0,0.307,0.368,55.0,100.0,16.0,5.0,6.0,34.0,32.0,53.0,16.0,2.0,1.0,0.0,0.0,0.0
300.0,0.267,0.31,73.0,149.0,23.0,9.0,6.0,39.0,34.0,89.0,76.0,6.0,0.0,0.0,0.0,0.0
1445.0,0.244,0.337,64.0,99.0,14.0,4.0,27.0,77.0,53.0,117.0,0.0,5.0,0.0,0.0,1.0,0.0
1210.0,0.285,0.331,84.0,170.0,28.0,10.0,8.0,54.0,42.0,65.0,34.0,5.0,0.0,0.0,1.0,0.0
140.0,0.24,0.306,14.0,31.0,7.0,1.0,2.0,14.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
875.0,0.27,0.33,96.0,164.0,32.0,8.0,16.0,67.0,52.0,99.0,10.0,24.0,0.0,0.0,1.0,1.0
360.0,0.225,0.271,16.0,40.0,9.0,0.0,0.0,19.0,9.0,22.0,1.0,4.0,0.0,0.0,0.0,0.0
1650.0,0.296,0.352,92.0,179.0,28.0,8.0,2.0,50.0,52.0,74.0,48.0,5.0,0.0,0.0,1.0,1.0
140.0,0.264,0.27,24.0,74.0,16.0,0.0,3.0,27.0,5.0,42.0,0.0,10.0,0.0,0.0,0.0,0.0
4500.0,0.261,0.347,102.0,163.0,25.0,0.0,44.0,133.0,78.0,151.0,0.0,8.0,1.0,0.0,0.0,0.0
2833.0,0.256,0.346,71.0,136.0,36.0,0.0,28.0,91.0,73.0,107.0,12.0,2.0,0.0,0.0,1.0,0.0
620.0,0.318,0.453,104.0,178.0,31.0,2.0,32.0,109.0,138.0,112.0,1.0,2.0,0.0,0.0,0.0,0.0
287.0,0.277,0.32,24.0,51.0,9.0,0.0,2.0,13.0,11.0,42.0,15.0,4.0,0.0,0.0,0.0,0.0
117.0,0.275,0.361,17.0,44.0,7.0,0.0,4.0,20.0,19.0,43.0,0.0,14.0,0.0,0.0,0.0,0.0
302.0,0.238,0.347,83.0,134.0,15.0,4.0,10.0,51.0,95.0,151.0,56.0,27.0,0.0,0.0,0.0,0.0
175.0,0.243,0.304,36.0,83.0,15.0,0.0,11.0,31.0,29.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0
109.0,0.216,0.341,37.0,61.0,7.0,5.0,0.0,19.0,54.0,91.0,29.0,6.0,1.0,0.0,0.0,0.0
1190.0,0.255,0.321,39.0,108.0,22.0,8.0,3.0,26.0,42.0,61.0,2.0,8.0,0.0,0.0,1.0,0.0
111.0,0.213,0.222,4.0,13.0,4.0,1.0,1.0,8.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
255.0,0.22,0.333,69.0,110.0,14.0,1.0,23.0,63.0,83.0,128.0,5.0,6.0,0.0,0.0,0.0,0.0
190.0,0.258,0.295,38.0,94.0,14.0,1.0,3.0,20.0,14.0,26.0,4.0,11.0,0.0,0.0,0.0,0.0
575.0,0.28,0.336,41.0,77.0,22.0,1.0,4.0,23.0,23.0,44.0,14.0,10.0,0.0,0.0,0.0,0.0
1000.0,0.234,0.274,41.0,104.0,18.0,3.0,0.0,29.0,24.0,107.0,7.0,19.0,0.0,0.0,1.0,0.0
200.0,0.228,0.295,26.0,84.0,16.0,0.0,10.0,47.0,31.0,90.0,2.0,2.0,0.0,0.0,0.0,0.0
2350.0,0.294,0.367,84.0,158.0,27.0,6.0,21.0,92.0,67.0,100.0,7.0,3.0,1.0,0.0,0.0,0.0
365.0,0.23,0.336,40.0,59.0,12.0,3.0,2.0,27.0,36.0,44.0,12.0,3.0,0.0,0.0,0.0,0.0
145.0,0.246,0.358,41.0,55.0,5.0,3.0,1.0,15.0,36.0,30.0,13.0,0.0,0.0,0.0,0.0,0.0
1950.0,0.247,0.343,67.0,119.0,15.0,4.0,12.0,49.0,67.0,84.0,6.0,12.0,1.0,1.0,0.0,0.0
333.0,0.243,0.297,46.0,99.0,18.0,7.0,9.0,45.0,30.0,85.0,4.0,7.0,0.0,0.0,0.0,0.0
2785.0,0.297,0.371,81.0,119.0,10.0,1.0,0.0,26.0,47.0,40.0,72.0,3.0,1.0,1.0,0.0,0.0
2000.0,0.258,0.288,46.0,86.0,7.0,4.0,12.0,40.0,12.0,57.0,5.0,9.0,1.0,1.0,0.0,0.0
1567.0,0.284,0.371,87.0,160.0,28.0,4.0,17.0,72.0,79.0,95.0,10.0,8.0,1.0,0.0,0.0,0.0
109.0,0.216,0.285,38.0,87.0,12.0,0.0,19.0,51.0,35.0,117.0,0.0,2.0,1.0,0.0,0.0,0.0
185.0,0.238,0.289,21.0,56.0,5.0,1.0,0.0,21.0,14.0,37.0,3.0,11.0,0.0,0.0,0.0,0.0
2017.0,0.179,0.314,64.0,60.0,14.0,2.0,25.0,64.0,89.0,175.0,1.0,7.0,1.0,0.0,0.0,0.0
950.0,0.278,0.377,76.0,113.0,17.0,2.0,17.0,49.0,58.0,70.0,1.0,0.0,1.0,1.0,0.0,0.0
1300.0,0.278,0.321,57.0,135.0,22.0,1.0,5.0,43.0,28.0,45.0,6.0,1.0,1.0,0.0,0.0,0.0
1192.0,0.295,0.363,19.0,65.0,17.0,1.0,1.0,29.0,21.0,32.0,1.0,5.0,1.0,0.0,0.0,0.0
650.0,0.264,0.325,51.0,92.0,10.0,6.0,0.0,18.0,30.0,31.0,21.0,4.0,0.0,0.0,0.0,0.0
367.0,0.273,0.344,23.0,51.0,11.0,2.0,4.0,23.0,19.0,34.0,9.0,1.0,0.0,0.0,0.0,0.0
375.0,0.237,0.351,23.0,46.0,10.0,1.0,7.0,29.0,35.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0
113.0,0.34,0.381,15.0,36.0,7.0,0.0,0.0,7.0,7.0,17.0,3.0,6.0,0.0,0.0,0.0,0.0
170.0,0.2,0.258,11.0,23.0,7.0,0.0,1.0,13.0,8.0,34.0,1.0,3.0,0.0,0.0,0.0,0.0
800.0,0.214,0.29,38.0,72.0,12.0,1.0,11.0,38.0,36.0,92.0,1.0,3.0,1.0,1.0,0.0,0.0
360.0,0.23,0.302,42.0,98.0,16.0,4.0,1.0,41.0,45.0,37.0,7.0,13.0,0.0,0.0,0.0,0.0
950.0,0.262,0.307,30.0,111.0,13.0,2.0,0.0,31.0,26.0,27.0,5.0,12.0,0.0,0.0,1.0,0.0
565.0,0.274,0.304,72.0,161.0,14.0,13.0,0.0,49.0,26.0,58.0,26.0,2.0,0.0,0.0,0.0,0.0
200.0,0.284,0.31,22.0,73.0,14.0,0.0,5.0,30.0,10.0,43.0,3.0,8.0,0.0,0.0,0.0,0.0
109.0,0.258,0.395,6.0,8.0,1.0,0.0,1.0,6.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
740.0,0.277,0.33,34.0,74.0,18.0,2.0,13.0,41.0,17.0,52.0,1.0,3.0,0.0,0.0,1.0,0.0
555.0,0.275,0.377,67.0,109.0,25.0,1.0,21.0,87.0,65.0,81.0,8.0,7.0,0.0,0.0,0.0,0.0
130.0,0.203,0.313,7.0,14.0,4.0,0.0,0.0,3.0,10.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0
6100.0,0.302,0.391,102.0,174.0,44.0,6.0,18.0,100.0,90.0,67.0,2.0,15.0,1.0,1.0,0.0,0.0
129.0,0.353,0.435,16.0,48.0,12.0,2.0,2.0,18.0,20.0,22.0,0.0,5.0,0.0,0.0,0.0,0.0
425.0,0.252,0.301,15.0,35.0,5.0,1.0,5.0,22.0,10.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0
600.0,0.252,0.283,44.0,136.0,18.0,4.0,9.0,44.0,25.0,84.0,11.0,21.0,1.0,1.0,0.0,0.0
135.0,0.195,0.345,10.0,22.0,2.0,0.0,0.0,3.0,25.0,32.0,3.0,10.0,0.0,0.0,0.0,0.0
1375.0,0.25,0.342,37.0,72.0,15.0,0.0,12.0,48.0,36.0,76.0,4.0,2.0,1.0,0.0,0.0,0.0
935.0,0.275,0.351,40.0,70.0,16.0,4.0,4.0,21.0,30.0,42.0,15.0,3.0,1.0,1.0,0.0,0.0
850.0,0.238,0.273,31.0,104.0,16.0,2.0,5.0,41.0,18.0,61.0,3.0,0.0,0.0,0.0,1.0,0.0
2425.0,0.272,0.326,41.0,116.0,12.0,1.0,8.0,70.0,37.0,46.0,4.0,16.0,1.0,1.0,0.0,0.0
175.0,0.286,0.378,35.0,57.0,7.0,2.0,5.0,20.0,30.0,35.0,5.0,7.0,0.0,0.0,0.0,0.0
177.0,0.262,0.283,7.0,38.0,5.0,0.0,0.0,10.0,5.0,18.0,2.0,7.0,0.0,0.0,0.0,0.0
2400.0,0.248,0.32,57.0,93.0,20.0,0.0,9.0,55.0,37.0,39.0,11.0,9.0,1.0,0.0,0.0,0.0
760.0,0.226,0.286,15.0,30.0,8.0,1.0,0.0,13.0,12.0,14.0,0.0,5.0,0.0,0.0,1.0,0.0
140.0,0.269,0.303,32.0,58.0,12.0,1.0,13.0,33.0,11.0,51.0,1.0,2.0,0.0,0.0,0.0,0.0
525.0,0.288,0.366,24.0,47.0,7.0,0.0,7.0,24.0,18.0,23.0,2.0,3.0,0.0,0.0,0.0,0.0
365.0,0.208,0.265,12.0,35.0,11.0,1.0,0.0,15.0,14.0,30.0,2.0,6.0,0.0,0.0,0.0,0.0
990.0,0.29,0.349,59.0,141.0,30.0,2.0,16.0,64.0,42.0,102.0,14.0,6.0,1.0,0.0,0.0,0.0
2167.0,0.225,0.312,37.0,64.0,12.0,0.0,17.0,48.0,36.0,80.0,1.0,0.0,1.0,0.0,0.0,0.0
